"","Time","Name","Lon","Lat","Description","newtime"
"184","Sun, 13 Jul 14 19:19:09 +0000","Streeter Pool",-74.5047196750592,40.8108934468444,"@",2014-07-13
"185","Sat, 12 Jul 14 21:30:29 +0000","Sona Thirteen",-74.4806764412595,40.7958764046853,"@",2014-07-12
"186","Sat, 12 Jul 14 13:18:09 +0000","SmartWorld Coffee",-74.4790337578386,40.7946995830169,"@",2014-07-12
"187","Fri, 11 Jul 14 12:42:27 +0000","Birdbath Neighborhood Green Bakery",-74.0064373056708,40.716404115772,"@",2014-07-11
"188","Wed, 09 Jul 14 17:41:58 +0000","AT&amp;T",-74.6311366465079,40.6769881089266,"@",2014-07-09
"189","Tue, 08 Jul 14 19:41:59 +0000","Jasmin Mediterranean Bistro",-78.7791513377862,35.8940445816101,"@",2014-07-08
"190","Tue, 08 Jul 14 13:45:42 +0000","Institute For Advanced Analytics",-78.6778803812824,35.772783222324,"@",2014-07-08
"191","Sat, 05 Jul 14 16:27:39 +0000","Cafe Bruges",-77.1971048851708,40.1996393756028,"@",2014-07-05
"192","Sat, 05 Jul 14 12:27:34 +0000","Brooks Robinson Plaza @ Sovereign Bank Stadium",-76.7290781020107,39.96712318684,"@",2014-07-05
"193","Fri, 04 Jul 14 17:49:34 +0000","Dietrich's Meats",-75.800281744285,40.5784625603367,"@",2014-07-04
"194","Thu, 03 Jul 14 02:22:23 +0000","The Office Tavern Grill",-74.4710776872034,40.7892703702596,"@",2014-07-03
"195","Sun, 29 Jun 14 23:05:54 +0000","Georgie's Diner",-72.9572591649935,41.2732454215932,"@",2014-06-29
"196","Sun, 29 Jun 14 17:38:34 +0000","Wheaton College",-71.1823756813286,41.9683263632666,"@",2014-06-29
"197","Sun, 29 Jun 14 16:15:19 +0000","White Electric Coffee",-71.4199088690629,41.8184223851755,"@",2014-06-29
"198","Sat, 28 Jun 14 22:06:34 +0000","Kitchen ZINC",-72.9280074327357,41.3062563417269,"@",2014-06-28
"199","Sat, 28 Jun 14 17:10:42 +0000","Starbucks",-74.481512086167,40.7966285126458,"@",2014-06-28
"200","Fri, 27 Jun 14 13:25:40 +0000","Birdbath Neighborhood Green Bakery",-74.0060470910502,40.7165467541901,"@",2014-06-27
"201","Tue, 24 Jun 14 15:55:48 +0000","Omni Dallas Hotel",-96.8039193909235,32.7752588409795,"@",2014-06-24
"202","Fri, 20 Jun 14 20:27:32 +0000","Delicious Heights",-74.6456042122915,40.6806421446511,"@",2014-06-20
"203","Fri, 20 Jun 14 16:45:02 +0000","Delicious Heights",-74.6455699033067,40.6810634363388,"@",2014-06-20
"204","Sun, 15 Jun 14 17:40:39 +0000","Mountain Creek",-74.5054979774253,41.1907556618636,"@",2014-06-15
"205","Sat, 14 Jun 14 18:23:25 +0000","Kam Man Food ",-74.3742826150742,40.810306515702,"@",2014-06-14
"206","Sat, 14 Jun 14 13:21:45 +0000","SmartWorld Coffee",-74.4790223105135,40.7946980105437,"@",2014-06-14
"207","Thu, 12 Jun 14 21:26:22 +0000","Dantanna's",-84.3646711200374,33.847564866035,"@",2014-06-12
"208","Mon, 09 Jun 14 16:11:52 +0000","AT&amp;T",-74.6352425859345,40.6711561593819,"@",2014-06-09
"209","Sat, 07 Jun 14 20:54:35 +0000","Ginty Pool",-74.4658058768307,40.7781195997766,"@",2014-06-07
"210","Thu, 05 Jun 14 07:49:29 +0000","La Victoria Taqueria",-121.884463781315,37.3326462781308,"@",2014-06-05
"211","Thu, 05 Jun 14 04:27:56 +0000","San Pedro Square Market",-121.894312338098,37.3366262164732,"@",2014-06-05
"212","Wed, 04 Jun 14 22:17:55 +0000","Psycho Donuts",-121.886070067465,37.332079866362,"@",2014-06-04
"213","Wed, 04 Jun 14 05:27:20 +0000","Singlebarrel",-121.888248798916,37.3292836884589,"@",2014-06-04
"214","Wed, 04 Jun 14 04:02:59 +0000","Gordon Biersch Brewery Restaurant",-121.888626737755,37.3348884116277,"@",2014-06-04
"215","Tue, 03 Jun 14 23:10:26 +0000","Psycho Donuts",-121.88597558069,37.3321833879108,"@",2014-06-03
"216","Sat, 31 May 14 01:25:07 +0000","Amc Headquarters 10",-74.4813518258078,40.8002951759625,"@",2014-05-31
"217","Sat, 31 May 14 00:16:48 +0000","The Godfather Pizzeria",-74.4748554346723,40.7952601996524,"@",2014-05-31
